Statistical profiling result from sinCLog.log, (8512 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  Function: ^enabledHooksExist node:internal/async_hooks:466:27
      1    0.0%    0.1%  Function: ^emitStatistics node:internal/http:36:24
      1    0.0%    0.1%  Function: ^digest node:internal/crypto/hash:115:40
      1    0.0%    0.1%  Function: ^decodeChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_writable.js:343:21
      1    0.0%    0.1%  Function: ^databaseNamespace /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:514:27
      1    0.0%    0.1%  Function: ^createError /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/http-errors/index.js:48:22
      1    0.0%    0.1%  Function: ^contentType /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:594:32
      1    0.0%    0.1%  Function: ^concat node:buffer:535:32
      1    0.0%    0.1%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.1%  Function: ^command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      1    0.0%    0.1%  Function: ^closeSync node:fs:526:19
      1    0.0%    0.1%  Function: ^clearRequestTimeout node:_http_server:772:29
      1    0.0%    0.1%  Function: ^clearBuffer node:internal/streams/writable:530:21
      1    0.0%    0.1%  Function: ^classifySexpr /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:363:40
      1    0.0%    0.1%  Function: ^castChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      1    0.0%    0.1%  Function: ^callback /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connect.js:48:31
      1    0.0%    0.1%  Function: ^calculateDurationInMs /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:714:31
      1    0.0%    0.1%  Function: ^cacheControl file:///mnt/c/Users/jenni/Desktop/DESAFIOS%20PARA%20ENTREGAR%20CODER/Desafio16/src/middlewares/cache.middlewares.js:1:29
      1    0.0%    0.1%  Function: ^assertOffset node:internal/crypto/random:62:22
      1    0.0%    0.1%  Function: ^applySession /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:643:22
      1    0.0%    0.1%  Function: ^allocate node:buffer:397:18
      1    0.0%    0.1%  Function: ^addChunk node:internal/streams/readable:312:18
      1    0.0%    0.1%  Function: ^addCatch node:events:215:18
      1    0.0%    0.1%  Function: ^accept /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    0.0%    0.1%  Function: ^_write node:internal/streams/writable:284:16
      1    0.0%    0.1%  Function: ^_transform /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/winston/lib/winston/logger.js:267:13
      1    0.0%    0.1%  Function: ^_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.1%  Function: ^_getTemplateName /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:322:19
      1    0.0%    0.1%  Function: ^_copyActual node:buffer:242:21
      1    0.0%    0.1%  Function: ^_addHeaderLine node:_http_incoming:340:24
      1    0.0%    0.1%  Function: ^WritableState.onwrite /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_writable.js:159:27
      1    0.0%    0.1%  Function: ^WhitespaceControl.Decorator.WhitespaceControl.MustacheStatement /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:134:98
      1    0.0%    0.1%  Function: ^UpdateOperation /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/update.js:10:16
      1    0.0%    0.1%  Function: ^Transform._read /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_transform.js:171:38
      1    0.0%    0.1%  Function: ^Timeout.refresh node:internal/timers:210:37
      1    0.0%    0.1%  Function: ^Socket.resume node:net:630:35
      1    0.0%    0.1%  Function: ^MustacheStatement /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      1    0.0%    0.1%  Function: ^Msg /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/commands.js:468:16
      1    0.0%    0.1%  Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1    0.0%    0.1%  Function: ^Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      1    0.0%    0.1%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1    0.0%    0.1%  Function: ^Hash node:internal/crypto/hash:58:14
      1    0.0%    0.1%  Function: ^Glob._processGlobStar /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/glob/glob.js:620:44
      1    0.0%    0.1%  Function: ^ClientSession /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:54:16
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:168:39
      1    0.0%    0.1%  Function: ^<anonymous> node:buffer:348:36
      1    0.0%    0.1%  Function: ^<anonymous> :1:20
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:494:13
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/server_selection.js:157:12
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/server.js:41:35
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:46:70
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:16:48
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cursor/abstract_cursor.js:442:46
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/request.js:467:36
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/index.js:220:28
      1    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/connect-mongodb-session/index.js:134:48
      1    0.0%    0.1%  Function: *wasm-function[15]

 [C++]:
   ticks  total  nonlib   name
    426    5.0%   22.6%  __xstat
    392    4.6%   20.8%  __lxstat
    115    1.4%    6.1%  __write
     70    0.8%    3.7%  __libc_open
     62    0.7%    3.3%  __mprotect
     39    0.5%    2.1%  __lll_lock_wait
     34    0.4%    1.8%  __libc_read
     32    0.4%    1.7%  _IO_fwrite
     28    0.3%    1.5%  __pthread_cond_wait
     17    0.2%    0.9%  __libc_malloc
     13    0.2%    0.7%  writev
     13    0.2%    0.7%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     13    0.2%    0.7%  shutdown
     12    0.1%    0.6%  __pthread_cond_signal
      7    0.1%    0.4%  operator new(unsigned long)
      7    0.1%    0.4%  epoll_pwait
      7    0.1%    0.4%  __libc_write
      6    0.1%    0.3%  __libc_free
      6    0.1%    0.3%  _IO_file_xsputn
      5    0.1%    0.3%  __GI___pthread_mutex_unlock
      4    0.0%    0.2%  std::ostream::sentry::sentry(std::ostream&)
      4    0.0%    0.2%  __fxstat
      4    0.0%    0.2%  __errno_location
      4    0.0%    0.2%  __GI___pthread_rwlock_wrlock
      3    0.0%    0.2%  operator delete(void*)
      3    0.0%    0.2%  __munmap
      2    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)
      2    0.0%    0.1%  std::locale::id::_M_id() const
      2    0.0%    0.1%  __libc_realloc
      2    0.0%    0.1%  __libc_calloc
      2    0.0%    0.1%  __GI___pthread_rwlock_unlock
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.1%  std::ostream::operator<<(int)
      1    0.0%    0.1%  std::ostream::flush()
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      1    0.0%    0.1%  posix_memalign
      1    0.0%    0.1%  operator new[](unsigned long, std::nothrow_t const&)
      1    0.0%    0.1%  operator new[](unsigned long)
      1    0.0%    0.1%  operator delete[](void*)
      1    0.0%    0.1%  epoll_ctl
      1    0.0%    0.1%  do_futex_wait.constprop.0
      1    0.0%    0.1%  brk
      1    0.0%    0.1%  accept4
      1    0.0%    0.1%  __pthread_rwlock_tryrdlock
      1    0.0%    0.1%  __pthread_mutex_unlock_usercnt
      1    0.0%    0.1%  __madvise
      1    0.0%    0.1%  __clock_gettime
      1    0.0%    0.1%  _IO_setb
      1    0.0%    0.1%  _IO_padn
      1    0.0%    0.1%  _IO_file_write
      1    0.0%    0.1%  _IO_do_write
      1    0.0%    0.1%  _IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
    508    6.0%   27.0%  JavaScript
   1357   15.9%   72.1%  C++
    543    6.4%   28.9%  GC
   6631   77.9%          Shared libraries
     16    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    426   37.1%    5.0%  __xstat
    392   34.1%    4.6%  __lxstat
     90    7.8%    1.1%  __write
     70    6.1%    0.8%  __libc_open
     48    4.2%    0.6%  __mprotect
     27    2.3%    0.3%  _IO_fwrite
     13    1.1%    0.2%  writev
     11    1.0%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     11    1.0%    0.1%  __libc_malloc
      7    0.6%    0.1%  operator new(unsigned long)
      6    0.5%    0.1%  _IO_file_xsputn
      4    0.3%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      4    0.3%    0.0%  __pthread_cond_signal
      4    0.3%    0.0%  __fxstat
      4    0.3%    0.0%  __GI___pthread_rwlock_wrlock
      3    0.3%    0.0%  __lll_lock_wait
      3    0.3%    0.0%  __libc_free
      2    0.2%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      2    0.2%    0.0%  operator delete(void*)
      2    0.2%    0.0%  __libc_calloc
      2    0.2%    0.0%  __errno_location
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.1%    0.0%  std::ostream::operator<<(int)
      1    0.1%    0.0%  std::ostream::flush()
      1    0.1%    0.0%  std::locale::id::_M_id() const
      1    0.1%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      1    0.1%    0.0%  posix_memalign
      1    0.1%    0.0%  operator new[](unsigned long, std::nothrow_t const&)
      1    0.1%    0.0%  operator new[](unsigned long)
      1    0.1%    0.0%  operator delete[](void*)
      1    0.1%    0.0%  brk
      1    0.1%    0.0%  __pthread_rwlock_tryrdlock
      1    0.1%    0.0%  __clock_gettime
      1    0.1%    0.0%  __GI___pthread_rwlock_unlock
      1    0.1%    0.0%  _IO_setb
      1    0.1%    0.0%  _IO_padn
      1    0.1%    0.0%  _IO_file_write
      1    0.1%    0.0%  _IO_do_write
      1    0.1%    0.0%  _IO_default_xsputn

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   6390   75.1%  /home/jenny/.nvm/versions/node/v17.1.0/bin/node
   4059   63.5%    /home/jenny/.nvm/versions/node/v17.1.0/bin/node
    725   17.9%      Function: ^stat node:internal/modules/cjs/loader:151:14
    393   54.2%        Function: ^tryFile node:internal/modules/cjs/loader:384:17
    380   96.7%          Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
    346   91.1%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
     33    8.7%            Function: ^tryPackage node:internal/modules/cjs/loader:338:20
     11    2.8%          Function: ^tryPackage node:internal/modules/cjs/loader:338:20
     11  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
    330   45.5%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
    321   97.3%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
    296   92.2%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
     25    7.8%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      9    2.7%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      5   55.6%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4   44.4%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
    685   16.9%      Function: ^compileFunction node:vm:308:25
    675   98.5%        Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
    673   99.7%          Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
    661   98.2%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     12    1.8%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
      7    1.0%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      7  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      7  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
    390    9.6%      Function: ^openSync node:fs:576:18
    389   99.7%        Function: ^readFileSync node:fs:450:22
    379   97.4%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
    363   95.8%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
     16    4.2%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      9    2.3%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
      6   66.7%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
      3   33.3%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:963:33
    146    3.6%      Function: ^handleWriteReq node:internal/stream_base_commons:45:24
    146  100.0%        Function: ^writeGeneric node:internal/stream_base_commons:151:22
     75   51.4%          LazyCompile: *writeOrBuffer node:internal/streams/writable:366:23
     69   92.0%            LazyCompile: *_write node:internal/streams/writable:284:16
      6    8.0%            Function: ^_write node:internal/streams/writable:284:16
     71   48.6%          Function: ^Socket._writeGeneric node:net:769:42
     71  100.0%            Function: ^Socket._write node:net:806:35
    141    3.5%      Function: ^writevGeneric node:internal/stream_base_commons:126:23
    132   93.6%        Function: ^Socket._writeGeneric node:net:769:42
    132  100.0%          Function: ^Socket._writev node:net:801:36
    132  100.0%            Function: ^doWrite node:internal/streams/writable:399:17
      8    5.7%        LazyCompile: *clearBuffer node:internal/streams/writable:530:21
      8  100.0%          Function: ^Writable.uncork node:internal/streams/writable:342:37
      4   50.0%            Function: ^end node:_http_outgoing:833:45
      4   50.0%            Function: ^connectionCorkNT node:_http_outgoing:796:26
    128    3.2%      Function: ^statSync node:fs:1528:18
    124   96.9%        Function: ^tryStat /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:174:17
    123   99.2%          Function: ^resolve /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:146:42
    123  100.0%            Function: ^lookup /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:104:40
      2    1.6%        LazyCompile: ~tryStat /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:174:17
      2  100.0%          LazyCompile: ~resolve /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:146:42
      2  100.0%            LazyCompile: ~lookup /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/view.js:104:40
    101    2.5%      /home/jenny/.nvm/versions/node/v17.1.0/bin/node
      9    8.9%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      8   88.9%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      6   75.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      2   25.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   11.1%          Function: ^resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      7    6.9%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      7  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      6   85.7%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1   14.3%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      6    5.9%        Function: ^checkInvalidHeaderChar node:_http_common:232:32
      6  100.0%          Function: ^<anonymous> node:_http_outgoing:564:45
      6  100.0%            Function: ^setHeader node:_http_outgoing:574:57
      5    5.0%        Function: ^messageHandler /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:421:35
      3   60.0%          LazyCompile: *emit node:events:340:44
      3  100.0%            Function: ^processIncomingData /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1   20.0%          LazyCompile: *processIncomingData /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1  100.0%            LazyCompile: *writeOrBuffer node:internal/streams/writable:366:23
      1   20.0%          Function: ^emit node:events:340:44
      1  100.0%            Function: ^processIncomingData /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      5    5.0%        /home/jenny/.nvm/versions/node/v17.1.0/bin/node
      4   80.0%          Function: ^isValid /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/read_preference.js:130:19
      4  100.0%            Function: ^isValid /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/read_preference.js:146:12
      1   20.0%          Function: ^checkInvalidHeaderChar node:_http_common:232:32
      1  100.0%            Function: ^<anonymous> node:_http_outgoing:564:45
      4    4.0%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      4  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      4  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4    4.0%        Function: ^stat node:internal/modules/cjs/loader:151:14
      2   50.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      2  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      2   50.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      4    4.0%        Function: ^header /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:754:29
      2   50.0%          Function: ^send /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:107:25
      1   50.0%            LazyCompile: *renderView /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      1   50.0%            Function: ^done /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:1006:27
      2   50.0%          Function: ^contentType /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:594:32
      2  100.0%            Function: ^send /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/response.js:107:25
      4    4.0%        Function: ^databaseNamespace /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:514:27
      4  100.0%          Function: ^Msg /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/commands.js:468:16
      3   75.0%            Function: ^command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      1   25.0%            LazyCompile: *command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      4    4.0%        Function: ^compileFunction node:vm:308:25
      4  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
      4  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      3    3.0%        Function: ^expressInit /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/middleware/init.js:29:30
      3  100.0%          LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/router/index.js:176:16
      3  100.0%            Function: ^query /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/middleware/query.js:39:24
      2    2.0%        LazyCompile: ~resolvePackageTargetString node:internal/modules/esm/resolve:464:36
      2  100.0%          LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:521:30
      2  100.0%            LazyCompile: ~packageExportsResolve node:internal/modules/esm/resolve:624:31
      2    2.0%        LazyCompile: ~next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      2  100.0%          LazyCompile: ~lex /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:525:30
      2  100.0%            LazyCompile: ~lex /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:295:25
      2    2.0%        LazyCompile: *quotedString /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      2  100.0%          Function: ^pushSource /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      2  100.0%            Function: ^append /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      2    2.0%        LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      2  100.0%          LazyCompile: *render /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      2  100.0%            /home/jenny/.nvm/versions/node/v17.1.0/bin/node
      2    2.0%        LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      2  100.0%          LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      2  100.0%            LazyCompile: *render /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      2    2.0%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      2  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
     97    2.4%      Function: ^read node:internal/modules/package_json_reader:16:14
     83   85.6%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
     43   51.8%          Function: ^tryPackage node:internal/modules/cjs/loader:338:20
     40   93.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3    7.0%            LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
     25   30.1%          Function: ^resolveExports node:internal/modules/cjs/loader:472:24
     25  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
     10   12.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      9   90.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1   10.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
      5    6.0%          LazyCompile: ~resolveExports node:internal/modules/cjs/loader:472:24
      3   60.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      2   40.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
     13   13.4%        LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     13  100.0%          Function: ^tryPackage node:internal/modules/cjs/loader:338:20
     13  100.0%            LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    1.0%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:290:21
      1  100.0%          LazyCompile: ~resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
     64    1.6%      Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     48   75.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
