Statistical profiling result from sinCLog.log, (8512 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *resolveOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:824:24
      2    0.0%    0.1%  LazyCompile: *resolveBSONOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/bson.js:52:28
      2    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      2    0.0%    0.1%  LazyCompile: *readableAddChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:249:26
      2    0.0%    0.1%  LazyCompile: *lookupProperty /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.1%  LazyCompile: *getHeader node:_http_outgoing:590:57
      2    0.0%    0.1%  LazyCompile: *fresh /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/parseurl/index.js:153:16
      2    0.0%    0.1%  LazyCompile: *extend /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      2    0.0%    0.1%  LazyCompile: *command /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:161:12
      2    0.0%    0.1%  LazyCompile: *append /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      2    0.0%    0.1%  LazyCompile: *_addListener node:events:418:22
      2    0.0%    0.1%  LazyCompile: *SourceNode_add /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:172:51
      2    0.0%    0.1%  LazyCompile: *Program /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      2    0.0%    0.1%  Function: ^writevGeneric node:internal/stream_base_commons:126:23
      2    0.0%    0.1%  Function: ^writeOrBuffer /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_writable.js:363:23
      2    0.0%    0.1%  Function: ^stringToFlags node:internal/fs/utils:555:23
      2    0.0%    0.1%  Function: ^parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/commands.js:577:10
      2    0.0%    0.1%  Function: ^ondata /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:679:18
      2    0.0%    0.1%  Function: ^next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      2    0.0%    0.1%  Function: ^makeFindCommand /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/find.js:73:25
      2    0.0%    0.1%  Function: ^handleOperationResult /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sdam/server.js:315:42
      2    0.0%    0.1%  Function: ^get serverSession /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:93:22
      2    0.0%    0.1%  Function: ^checkCollectionName /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:20:29
      2    0.0%    0.1%  Function: ^Writable.write /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:314:37
      2    0.0%    0.1%  Function: ^UpdateOneOperation /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/update.js:64:16
      2    0.0%    0.1%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      2    0.0%    0.1%  Function: ^AbstractOperation /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/operation.js:24:16
      2    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:131:67
      1    0.0%    0.1%  RegExp: ^\s*?\r?\n
      1    0.0%    0.1%  RegExp: ^\.|this\b
      1    0.0%    0.1%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.1%  RegExp: ^(?:\s+)
      1    0.0%    0.1%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      1    0.0%    0.1%  RegExp: ^(?:@)
      1    0.0%    0.1%  RegExp: ^(?:=)
      1    0.0%    0.1%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.1%  RegExp: \{.*\}
      1    0.0%    0.1%  RegExp: \r?\n\s*?$
      1    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.1%  RegExp: [\x00-\x1f\x22\x5c]
      1    0.0%    0.1%  LazyCompile: *write node:buffer:592:12
      1    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      1    0.0%    0.1%  LazyCompile: *validateNumber node:internal/validators:123:24
      1    0.0%    0.1%  LazyCompile: *template /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.1%  LazyCompile: *stringifyReplacerFn /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/safe-stable-stringify/stable.js:386:30
      1    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      1    0.0%    0.1%  LazyCompile: *slice node:buffer:1115:40
      1    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      1    0.0%    0.1%  LazyCompile: *pushSource /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      1    0.0%    0.1%  LazyCompile: *processIncomingData /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1    0.0%    0.1%  LazyCompile: *popStack /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  LazyCompile: *passLookupPropertyOption /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:366:34
      1    0.0%    0.1%  LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/minimatch/minimatch.js:271:16
      1    0.0%    0.1%  LazyCompile: *opcode /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:426:17
      1    0.0%    0.1%  LazyCompile: *fastparse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/parseurl/index.js:95:20
      1    0.0%    0.1%  LazyCompile: *callback node:internal/streams/writable:551:44
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *anonymous /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      1    0.0%    0.1%  LazyCompile: *adjustOffset node:buffer:1098:22
      1    0.0%    0.1%  LazyCompile: *_write node:internal/streams/writable:284:16
      1    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:417:52
      1    0.0%    0.1%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.1%  LazyCompile: *_getFile /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:299:17
      1    0.0%    0.1%  LazyCompile: *WhitespaceControl.Program /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      1    0.0%    0.1%  LazyCompile: *SourceNode /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:35:20
      1    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.1%  LazyCompile: *CommandOperation /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/command.js:14:16
      1    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:686:40
      1    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:505:34
      1    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
