Statistical profiling result from conCLog.log, (17495 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  LazyCompile: *opcode /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      4    0.0%    0.1%  LazyCompile: *ondata node:internal/streams/readable:775:18
      4    0.0%    0.1%  LazyCompile: *getPartials /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:52:20
      4    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      4    0.0%    0.1%  LazyCompile: *Writable.write node:internal/streams/writable:334:36
      4    0.0%    0.1%  LazyCompile: *PathExpression /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      4    0.0%    0.1%  Function: ^readableAddChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:249:26
      4    0.0%    0.1%  Function: ^next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/send/index.js:732:17
      4    0.0%    0.1%  Function: ^messageHandler /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:421:35
      4    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      3    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      3    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      3    0.0%    0.1%  RegExp: (?:^|,)\s*?no-transform\s*?(?:,|$)
      3    0.0%    0.1%  LazyCompile: *write node:buffer:1050:40
      3    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.1%  LazyCompile: *serializeBinary /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:459:25
      3    0.0%    0.1%  LazyCompile: *resolvePossibleLambda /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:527:56
      3    0.0%    0.1%  LazyCompile: *quotedString /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      3    0.0%    0.1%  LazyCompile: *pushSource /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      3    0.0%    0.1%  LazyCompile: *processIncomingData /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      3    0.0%    0.1%  LazyCompile: *preparePath /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      3    0.0%    0.1%  LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/minimatch/minimatch.js:271:16
      3    0.0%    0.1%  LazyCompile: *insert node:internal/timers:350:16
      3    0.0%    0.1%  LazyCompile: *hasTimedOut /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/sessions.js:535:16
      3    0.0%    0.1%  LazyCompile: *handle /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/router/index.js:136:31
      3    0.0%    0.1%  LazyCompile: *getTemplate /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:108:20
      3    0.0%    0.1%  LazyCompile: *createNewLookupObject /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      3    0.0%    0.1%  LazyCompile: *appendToBuffer /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      3    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:417:52
      3    0.0%    0.1%  LazyCompile: *_getDir /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:266:16
      3    0.0%    0.1%  LazyCompile: *Readable.read /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:392:36
      3    0.0%    0.1%  Function: ^write /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:488:15
      3    0.0%    0.1%  Function: ^session /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-session/index.js:179:26
      3    0.0%    0.1%  Function: ^removeListener node:events:557:28
      3    0.0%    0.1%  Function: ^processWaitQueue /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:417:26
      3    0.0%    0.1%  Function: ^get node:internal/bootstrap/pre_execution:326:8
      3    0.0%    0.1%  Function: ^executeWithServerSelection /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/operations/execute_operation.js:65:36
      3    0.0%    0.1%  Function: ^emit node:events:340:44
      3    0.0%    0.1%  Function: ^afterWriteDispatched node:internal/stream_base_commons:159:30
      3    0.0%    0.1%  Function: ^afterWrite node:internal/streams/writable:488:20
      3    0.0%    0.1%  Function: ^_copy node:buffer:200:15
